dataset	genomeID	ST	country	continent
KlebAMRnet	GCA_019928565.1_ASM1992856v1	ST5447	USA	North America
KlebAMRnet	GCA_019928585.1_ASM1992858v1	ST1440	USA	North America
KlebAMRnet	GCA_019928595.1_ASM1992859v1	ST2623	USA	North America
KlebAMRnet	GCA_019928625.2_ASM1992862v2	ST1583	Peru	South America
KlebAMRnet	GCA_019928635.1_ASM1992863v1	ST29	USA	North America
KlebAMRnet	GCA_019928665.1_ASM1992866v1	ST405	Peru	South America
KlebAMRnet	GCA_019928685.1_ASM1992868v1	ST1271	USA	North America
KlebAMRnet	GCA_019928705.3_ASM1992870v3	ST323	USA	North America
KlebAMRnet	GCA_019930055.1_ASM1993005v1	ST45	USA	North America
KlebAMRnet	GCA_019930085.1_ASM1993008v1	ST20	Afghanistan	Asia
KlebAMRnet	GCA_019930125.1_ASM1993012v1	ST2202	USA	North America
KlebAMRnet	GCA_019930145.1_ASM1993014v1	ST86	South Korea	Asia
KlebAMRnet	GCA_019930165.1_ASM1993016v1	ST1686	Germany	Europe
KlebAMRnet	GCA_019930175.1_ASM1993017v1	ST111	USA	North America
KlebAMRnet	GCA_019930185.1_ASM1993018v1	ST309	USA	North America
KlebAMRnet	GCA_019930225.1_ASM1993022v1	ST5446	USA	North America
KlebAMRnet	GCA_019930245.1_ASM1993024v1	ST4270	USA	North America
KlebAMRnet	GCA_019930265.1_ASM1993026v1	ST394	Turkey	Asia
KlebAMRnet	GCA_019930285.1_ASM1993028v1	ST107	Turkey	Asia
KlebAMRnet	GCA_019930305.1_ASM1993030v1	ST39	Turkey	Asia
KlebAMRnet	GCA_019930325.1_ASM1993032v1	ST150-1LV	USA	North America
KlebAMRnet	GCA_019930345.1_ASM1993034v1	ST1842	USA	North America
KlebAMRnet	GCA_019930355.1_ASM1993035v1	ST322	Germany	Europe
KlebAMRnet	GCA_019930385.1_ASM1993038v1	ST48	USA	North America
KlebAMRnet	GCA_019930405.1_ASM1993040v1	ST234	USA	North America
KlebAMRnet	GCA_019930425.1_ASM1993042v1	ST1787	USA	North America
KlebAMRnet	GCA_019930445.1_ASM1993044v1	ST37	USA	North America
KlebAMRnet	GCA_019930465.1_ASM1993046v1	ST261	USA	North America
KlebAMRnet	GCA_019930485.1_ASM1993048v1	ST4833	USA	North America
KlebAMRnet	GCA_019930505.1_ASM1993050v1	ST336	USA	North America
KlebAMRnet	GCA_020406995.1_ASM2040699v1	ST147	Italy	Europe
KlebAMRnet	GCA_020407015.1_ASM2040701v1	ST14	Kenya	Africa
KlebAMRnet	GCA_020407035.1_ASM2040703v1	ST3705	USA	North America
KlebAMRnet	GCA_020407045.1_ASM2040704v1	ST101	Turkey	Asia
KlebAMRnet	GCA_020407065.1_ASM2040706v1	ST199	USA	North America
KlebAMRnet	SAMD00049595	ST29	The Gambia	Africa
KlebAMRnet	SAMD00049596	ST29	The Gambia	Africa
KlebAMRnet	SAMD00052601	ST258	The Gambia	Africa
KlebAMRnet	SAMD00052602	ST1593	The Gambia	Africa
KlebAMRnet	SAMD00052603	ST258	The Gambia	Africa
KlebAMRnet	SAMD00052606	ST2252	The Gambia	Africa
KlebAMRnet	SAMD00052619	ST258	The Gambia	Africa
KlebAMRnet	SAMD00052621	ST258	The Gambia	Africa
KlebAMRnet	SAMD00052625	ST258	Nepal	Asia
KlebAMRnet	SAMD00055728	ST1	Nepal	Asia
KlebAMRnet	SAMD00055729	ST626	Nepal	Asia
KlebAMRnet	SAMD00055730	ST626	Nepal	Asia
KlebAMRnet	SAMD00055731	ST478	Nepal	Asia
KlebAMRnet	SAMD00055732	ST478	Nepal	Asia
KlebAMRnet	SAMD00055734	ST17	Nepal	Asia
KlebAMRnet	SAMD00055735	ST147	Nepal	Asia
KlebAMRnet	SAMD00055736	ST43	Nepal	Asia
KlebAMRnet	SAMD00055738	ST1	Nepal	Asia
KlebAMRnet	SAMD00055739	ST1	Pakistan	Asia
KlebAMRnet	SAMD00055740	ST147	Pakistan	Asia
KlebAMRnet	SAMD00055741	ST17	Pakistan	Asia
KlebAMRnet	SAMD00055743	ST278	Pakistan	Asia
KlebAMRnet	SAMD00055744	ST147	Pakistan	Asia
KlebAMRnet	SAMD00055745	ST321	Pakistan	Asia
KlebAMRnet	SAMD00055746	ST2286	Pakistan	Asia
KlebAMRnet	SAMD00055749	ST569	Pakistan	Asia
KlebAMRnet	SAMD00055750	ST11	Pakistan	Asia
KlebAMRnet	SAMD00055754	ST14	Pakistan	Asia
KlebAMRnet	SAMD00055755	ST14	Pakistan	Asia
KlebAMRnet	SAMD00055756	ST14	Pakistan	Asia
KlebAMRnet	SAMD00055757	ST14	Pakistan	Asia
KlebAMRnet	SAMD00055758	ST14	Pakistan	Asia
KlebAMRnet	SAMD00055759	ST14	Pakistan	Asia
KlebAMRnet	SAMD00055760	ST14	Pakistan	Asia
KlebAMRnet	SAMD00055761	ST1	Pakistan	Asia
KlebAMRnet	SAMD00055762	ST35	Pakistan	Asia
KlebAMRnet	SAMD00055763	ST15	Pakistan	Asia
KlebAMRnet	SAMD00055764	ST11	Pakistan	Asia
KlebAMRnet	SAMD00055765	ST101	Pakistan	Asia
KlebAMRnet	SAMD00055767	ST299	Pakistan	Asia
KlebAMRnet	SAMD00055769	ST101	Pakistan	Asia
KlebAMRnet	SAMD00055772	ST423	Pakistan	Asia
KlebAMRnet	SAMD00055773	ST147	Pakistan	Asia
KlebAMRnet	SAMD00055774	ST20	Pakistan	Asia
KlebAMRnet	SAMD00055777	ST101	Colombia	South America
KlebAMRnet	SAMD00055779	ST70	Colombia	South America
KlebAMRnet	SAMD00055780	ST22	Colombia	South America
KlebAMRnet	SAMD00055781	ST383	Nigeria	Africa
KlebAMRnet	SAMD00055782	ST383-1LV	Nigeria	Africa
KlebAMRnet	SAMD00055783	ST11	Nigeria	Africa
KlebAMRnet	SAMD00055784	ST11	Nigeria	Africa
KlebAMRnet	SAMD00055785	ST11	Nigeria	Africa
KlebAMRnet	SAMD00055786	ST20	Nigeria	Africa
KlebAMRnet	SAMD00055787	ST14	Nigeria	Africa
KlebAMRnet	SAMD00055788	ST14	Nigeria	Africa
KlebAMRnet	SAMD00055792	ST37	Nigeria	Africa
KlebAMRnet	SAMD00055794	ST37	Nigeria	Africa
KlebAMRnet	SAMD00055795	ST14	Nigeria	Africa
KlebAMRnet	SAMD00055796	ST37	Nigeria	Africa
KlebAMRnet	SAMD00055797	ST37	Nigeria	Africa
KlebAMRnet	SAMD00055798	ST14	Nigeria	Africa
KlebAMRnet	SAMD00055799	ST2290	Nigeria	Africa
KlebAMRnet	SAMD00055801	ST54	Nigeria	Africa
KlebAMRnet	SAMD00055803	ST11	Nigeria	Africa
KlebAMRnet	SAMD00055804	ST15	Nigeria	Africa
KlebAMRnet	SAMD00055806	ST376	Nigeria	Africa
KlebAMRnet	SAMD00055807	ST2292	Nigeria	Africa
KlebAMRnet	SAMD00055808	ST147	Nigeria	Africa
KlebAMRnet	SAMD00055809	ST147	Nigeria	Africa
KlebAMRnet	SAMD00055810	ST147	Nigeria	Africa
KlebAMRnet	SAMD00055811	ST147	Nigeria	Africa
KlebAMRnet	SAMD00055812	ST147	Colombia	South America
KlebAMRnet	SAMD00055813	ST147-1LV	Colombia	South America
KlebAMRnet	SAMD00055814	ST147	Colombia	South America
KlebAMRnet	SAMD00055815	ST147	Nigeria	Africa
KlebAMRnet	SAMD00057819	ST225	Nigeria	Africa
KlebAMRnet	SAMD00057820	ST225	Nigeria	Africa
KlebAMRnet	SAMD00057821	ST225	Colombia	South America
KlebAMRnet	SAMD00057822	ST225	Bangladesh	Asia
KlebAMRnet	SAMD00058062	ST340	Bangladesh	Asia
KlebAMRnet	SAMD00059718	ST11	Bangladesh	Asia
KlebAMRnet	SAMD00059719	ST231	Bangladesh	Asia
KlebAMRnet	SAMD00059724	ST231	Bangladesh	Asia
KlebAMRnet	SAMD00059725	ST35	Bangladesh	Asia
KlebAMRnet	SAMD00059730	ST231	Bangladesh	Asia
KlebAMRnet	SAMD00059733	ST231	Bangladesh	Asia
KlebAMRnet	SAMD00059736	ST14	Bangladesh	Asia
KlebAMRnet	SAMD00059738	ST231	Bangladesh	Asia
KlebAMRnet	SAMD00059742	ST231	Bangladesh	Asia
KlebAMRnet	SAMD00059761	ST147	Bangladesh	Asia
KlebAMRnet	SAMD00066597	ST258	Bangladesh	Asia
KlebAMRnet	SAMD00066850	ST15	Bangladesh	Asia
KlebAMRnet	SAMD00066851	ST15	Bangladesh	Asia
KlebAMRnet	SAMD00066852	ST15	Bangladesh	Asia
KlebAMRnet	SAMD00066853	ST15	Bangladesh	Asia
KlebAMRnet	SAMD00066854	ST15-1LV	Bangladesh	Asia
KlebAMRnet	SAMD00066855	ST15	Bangladesh	Asia
KlebAMRnet	SAMD00066856	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066857	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066858	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066859	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066860	ST307	Ethiopia	Africa
KlebAMRnet	SAMD00066861	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066862	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066863	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066864	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066865	ST395	Ethiopia	Africa
KlebAMRnet	SAMD00066866	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066867	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066868	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066869	ST16	Ethiopia	Africa
KlebAMRnet	SAMD00066870	ST16	Ethiopia	Africa
KlebAMRnet	SAMD00066871	ST2353	Ethiopia	Africa
KlebAMRnet	SAMD00066872	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00066873	ST16	Ethiopia	Africa
KlebAMRnet	SAMD00066874	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00066875	ST16	Ethiopia	Africa
KlebAMRnet	SAMD00066876	ST395	Ethiopia	Africa
KlebAMRnet	SAMD00085834	ST45	Ethiopia	Africa
KlebAMRnet	SAMD00092886	ST1	Ethiopia	Africa
KlebAMRnet	SAMD00092887	ST844	Ethiopia	Africa
KlebAMRnet	SAMD00092889	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00092890	ST2785	Ethiopia	Africa
KlebAMRnet	SAMD00092896	ST11	Ethiopia	Africa
KlebAMRnet	SAMD00092900	ST844	Ethiopia	Africa
KlebAMRnet	SAMD00092902	ST1916	Ethiopia	Africa
KlebAMRnet	SAMD00092905	ST2791	Ethiopia	Africa
KlebAMRnet	SAMD00099755	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00099758	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00099762	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00099765	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00099788	ST101	Ethiopia	Africa
KlebAMRnet	SAMD00099789	ST101	Ethiopia	Africa
KlebAMRnet	SAMD00099791	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00099792	ST101	Ethiopia	Africa
KlebAMRnet	SAMD00099793	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00099797	ST101	Ethiopia	Africa
KlebAMRnet	SAMD00108700	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00108704	ST268	Ethiopia	Africa
KlebAMRnet	SAMD00108711	ST1715	Ethiopia	Africa
KlebAMRnet	SAMD00108714	ST45	Ethiopia	Africa
KlebAMRnet	SAMD00108716	ST45	Ethiopia	Africa
KlebAMRnet	SAMD00108717	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108720	ST6530	Ethiopia	Africa
KlebAMRnet	SAMD00108721	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108722	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108723	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108724	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108727	ST584	Ethiopia	Africa
KlebAMRnet	SAMD00108730	ST528	Ethiopia	Africa
KlebAMRnet	SAMD00108731	ST65	Ethiopia	Africa
KlebAMRnet	SAMD00108736	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108737	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108738	ST6150	Ethiopia	Africa
KlebAMRnet	SAMD00108739	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108740	ST466	Ethiopia	Africa
KlebAMRnet	SAMD00108741	ST17	Ethiopia	Africa
KlebAMRnet	SAMD00108742	ST45	Ethiopia	Africa
KlebAMRnet	SAMD00108744	ST45	Ethiopia	Africa
KlebAMRnet	SAMD00108745	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00108748	ST107	Ethiopia	Africa
KlebAMRnet	SAMD00108750	ST12	Ethiopia	Africa
KlebAMRnet	SAMD00108751	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108753	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108758	ST37	Ethiopia	Africa
KlebAMRnet	SAMD00108759	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00108760	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108761	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00108762	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00108763	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108764	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108765	ST336	Ethiopia	Africa
KlebAMRnet	SAMD00108768	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108770	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108771	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00108772	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108775	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00108777	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00108779	ST336	Ethiopia	Africa
KlebAMRnet	SAMD00108781	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108782	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108785	ST147	Ethiopia	Africa
KlebAMRnet	SAMD00108786	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108788	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108790	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108791	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108793	ST340	Ethiopia	Africa
KlebAMRnet	SAMD00108797	ST336	Ethiopia	Africa
KlebAMRnet	SAMD00108799	ST231	Ethiopia	Africa
KlebAMRnet	SAMD00108800	ST273	Ethiopia	Africa
KlebAMRnet	SAMD00108801	ST231	Ethiopia	Africa
KlebAMRnet	SAMD00108806	ST15	Ethiopia	Africa
KlebAMRnet	SAMD00108807	ST120	India	Asia
KlebAMRnet	SAMD00108809	ST48	India	Asia
KlebAMRnet	SAMD00108814	ST1089	India	Asia
KlebAMRnet	SAMD00108819	ST147	India	Asia
KlebAMRnet	SAMD00108820	ST147	India	Asia
KlebAMRnet	SAMD00108821	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108822	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108824	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108828	ST231	Nigeria	Africa
KlebAMRnet	SAMD00108830	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108832	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108833	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108834	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108836	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108844	ST11	Nigeria	Africa
KlebAMRnet	SAMD00108846	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108850	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108853	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108855	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108857	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108858	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108860	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108861	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108863	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108864	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108865	ST340	Nigeria	Africa
KlebAMRnet	SAMD00108866	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108867	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108868	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108870	ST16	Nigeria	Africa
KlebAMRnet	SAMD00108872	ST540	Nigeria	Africa
KlebAMRnet	SAMD00108874	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108875	ST147	Nigeria	Africa
KlebAMRnet	SAMD00108879	ST11	Nigeria	Africa
KlebAMRnet	SAMD00108880	ST39	Nigeria	Africa
KlebAMRnet	SAMD00108881	ST16-1LV	Nigeria	Africa
KlebAMRnet	SAMD00108882	ST17	Nigeria	Africa
KlebAMRnet	SAMD00108884	ST101	Nigeria	Africa
KlebAMRnet	SAMD00108886	ST231	Nigeria	Africa
KlebAMRnet	SAMD00108887	ST11	Nigeria	Africa
KlebAMRnet	SAMD00108890	ST534	Nigeria	Africa
KlebAMRnet	SAMD00110856	ST231	Nigeria	Africa
KlebAMRnet	SAMD00110859	ST11	Nigeria	Africa
KlebAMRnet	SAMD00110860	ST16	Nigeria	Africa
KlebAMRnet	SAMD00110862	ST231	Nigeria	Africa
KlebAMRnet	SAMD00110863	ST340	Nigeria	Africa
KlebAMRnet	SAMD00110864	ST231	Nigeria	Africa
KlebAMRnet	SAMD00110865	ST231	Nigeria	Africa
KlebAMRnet	SAMD00110867	ST340	Nigeria	Africa
KlebAMRnet	SAMD00110868	ST14	Nigeria	Africa
KlebAMRnet	SAMD00110869	ST231	Nigeria	Africa
KlebAMRnet	SAMD00110870	ST11	Nigeria	Africa
KlebAMRnet	SAMD00110871	ST231	Nigeria	Africa
KlebAMRnet	SAMD00110872	ST101	Nigeria	Africa
KlebAMRnet	SAMD00110874	ST16	Nigeria	Africa
KlebAMRnet	SAMD00110875	ST336	Nigeria	Africa
KlebAMRnet	SAMD00110876	ST231	Nigeria	Africa
KlebAMRnet	SAMD00110877	ST14	Nigeria	Africa
KlebAMRnet	SAMD00110878	ST340	Nigeria	Africa
KlebAMRnet	SAMD00110879	ST14	Nigeria	Africa
KlebAMRnet	SAMD00110880	ST14	Pakistan	Asia
KlebAMRnet	SAMD00110881	ST14	Pakistan	Asia
KlebAMRnet	SAMD00110882	ST14	Pakistan	Asia
KlebAMRnet	SAMD00110883	ST16	Pakistan	Asia
KlebAMRnet	SAMD00110885	ST14	Pakistan	Asia
KlebAMRnet	SAMD00110886	ST147	Pakistan	Asia
KlebAMRnet	SAMD00110887	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110888	ST14	Pakistan	Asia
KlebAMRnet	SAMD00110890	ST14	Pakistan	Asia
KlebAMRnet	SAMD00110891	ST17	Pakistan	Asia
KlebAMRnet	SAMD00110892	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110893	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110894	ST11	Pakistan	Asia
KlebAMRnet	SAMD00110895	ST147	Pakistan	Asia
KlebAMRnet	SAMD00110896	ST16	Pakistan	Asia
KlebAMRnet	SAMD00110897	ST11	Pakistan	Asia
KlebAMRnet	SAMD00110898	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110899	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110900	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110901	ST11	Pakistan	Asia
KlebAMRnet	SAMD00110902	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110903	ST147	Pakistan	Asia
KlebAMRnet	SAMD00110904	ST16	Pakistan	Asia
KlebAMRnet	SAMD00110905	ST16	Pakistan	Asia
KlebAMRnet	SAMD00110906	ST231	Pakistan	Asia
KlebAMRnet	SAMD00110907	ST307	Pakistan	Asia
KlebAMRnet	SAMD00111748	ST231	Pakistan	Asia
KlebAMRnet	SAMD00111751	ST340	Pakistan	Asia
KlebAMRnet	SAMD00111752	ST340	Pakistan	Asia
KlebAMRnet	SAMD00111753	ST340	Pakistan	Asia
KlebAMRnet	SAMD00111754	ST340	Pakistan	Asia
KlebAMRnet	SAMD00111756	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111757	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111758	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111761	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111762	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111763	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111764	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111766	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111767	ST14	Pakistan	Asia
KlebAMRnet	SAMD00111769	ST16	Pakistan	Asia
KlebAMRnet	SAMD00111770	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111772	ST147	Rwanda	Africa
KlebAMRnet	SAMD00111773	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111775	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111776	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111780	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111781	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111783	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111784	ST231	Rwanda	Africa
KlebAMRnet	SAMD00111785	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111786	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111787	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111788	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111789	ST147	Rwanda	Africa
KlebAMRnet	SAMD00111790	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111791	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111794	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111795	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111796	ST147	Rwanda	Africa
KlebAMRnet	SAMD00111797	ST16	Rwanda	Africa
KlebAMRnet	SAMD00111798	ST16	South Africa	Africa
KlebAMRnet	SAMD00111799	ST16	South Africa	Africa
KlebAMRnet	SAMD00111800	ST16	South Africa	Africa
KlebAMRnet	SAMD00111801	ST16	South Africa	Africa
KlebAMRnet	SAMD00111802	ST147	South Africa	Africa
KlebAMRnet	SAMD00111804	ST231	South Africa	Africa
KlebAMRnet	SAMD00111805	ST16	South Africa	Africa
