query	target	evalue	pident	bitscore	qlen	qstart	qend	slen	sstart	send	qcov	scov	query-target	coverage	coverage_interval	pident_interval	interaction
7_1091_44_KL64	8_1343_36_HOST_KL64	0.0	95.729	1350.0	880.0	202.0	880.0	795.0	117.0	795.0	0.77	0.85	7_1091_44_KL64-8_1343_36_HOST_KL64	77.0	medium (50-80)		A
7_1091_44_KL64	97_BBF66868_1_KL56	1.62e-35	25.893	137.0	880.0	225.0	868.0	678.0	36.0	675.0	0.73	0.94	7_1091_44_KL64-97_BBF66868_1_KL56	73.0	medium (50-80)		A
7_1091_44_KL64	127_PC0871_KL60	4.98e-33	25.888	129.0	880.0	219.0	780.0	652.0	2.0	558.0	0.64	0.85	127_PC0871_KL60-7_1091_44_KL64	64.0	medium (50-80)		A
8_1343_36_HOST_KL64	130_PC0772_KL64	0.0	95.582	1348.0	795.0	117.0	795.0	880.0	202.0	880.0	0.85	0.77	130_PC0772_KL64-8_1343_36_HOST_KL64	77.0	medium (50-80)		A
8_1343_36_HOST_KL64	97_BBF66868_1_KL56	8.32e-38	26.588	144.0	795.0	140.0	783.0	678.0	36.0	675.0	0.81	0.94	8_1343_36_HOST_KL64-97_BBF66868_1_KL56	81.0	high (80-100)		A
8_1343_36_HOST_KL64	127_PC0871_KL60	1.48e-32	25.17	127.0	795.0	134.0	695.0	652.0	2.0	558.0	0.71	0.85	127_PC0871_KL60-8_1343_36_HOST_KL64	71.0	medium (50-80)		A
9_321_71_HOST_KL127	10_914_77_KL32	0.0	99.067	1084.0	690.0	155.0	690.0	536.0	1.0	536.0	0.78	1.0	10_914_77_KL32-9_321_71_HOST_KL127	78.0	medium (50-80)		A
11_319_37_KL127	12_321_74_HOST_KL127	0.0	97.134	1331.0	794.0	132.0	794.0	663.0	1.0	663.0	0.84	1.0	11_319_37_KL127-12_321_74_HOST_KL127	84.0	high (80-100)		A
11_319_37_KL127	144_PC0692_KL127	0.0	91.047	1328.0	794.0	76.0	794.0	813.0	90.0	813.0	0.91	0.89	11_319_37_KL127-144_PC0692_KL127	89.0	high (80-100)		A
11_319_37_KL127	145_PC1803_KL127	0.0	98.927	952.0	794.0	1.0	466.0	466.0	1.0	466.0	0.59	1.0	11_319_37_KL127-145_PC1803_KL127	59.0	medium (50-80)		A
11_319_37_KL127	143_PC0959_KL127	0.0	74.751	945.0	794.0	123.0	724.0	665.0	67.0	665.0	0.76	0.9	11_319_37_KL127-143_PC0959_KL127	76.0	medium (50-80)		A
12_321_74_HOST_KL127	144_PC0692_KL127	0.0	95.928	1313.0	663.0	1.0	663.0	813.0	151.0	813.0	1.0	0.82	12_321_74_HOST_KL127-144_PC0692_KL127	82.0	high (80-100)		A
12_321_74_HOST_KL127	143_PC0959_KL127	0.0	77.663	947.0	663.0	12.0	593.0	665.0	87.0	665.0	0.88	0.87	12_321_74_HOST_KL127-143_PC0959_KL127	87.0	high (80-100)		A
12_321_74_HOST_KL127	145_PC1803_KL127	0.0	96.418	675.0	663.0	1.0	335.0	466.0	132.0	466.0	0.51	0.72	12_321_74_HOST_KL127-145_PC1803_KL127	51.0	medium (50-80)		A
18_666_83_HOST_KL116	19_1668_52_HOST_KL2	0.0	91.132	975.0	773.0	244.0	773.0	530.0	2.0	530.0	0.69	1.0	18_666_83_HOST_KL116-19_1668_52_HOST_KL2	69.0	medium (50-80)		A
20_1057_41_HOST_KL25	138_PC0538_KL25	0.0	95.13	1135.0	578.0	4.0	578.0	574.0	1.0	574.0	0.99	1.0	138_PC0538_KL25-20_1057_41_HOST_KL25	99.0	high (80-100)		A
20_1057_41_HOST_KL25	87_YP_009153199_1_KL25	4.55e-99	34.483	307.0	578.0	47.0	576.0	584.0	43.0	582.0	0.92	0.92	20_1057_41_HOST_KL25-87_YP_009153199_1_KL25	92.0	high (80-100)		A
20_1057_41_HOST_KL25	135_PC1712_KL22	6.54e-97	36.312	302.0	578.0	65.0	576.0	603.0	82.0	602.0	0.89	0.86	135_PC1712_KL22-20_1057_41_HOST_KL25	86.0	high (80-100)		A
20_1057_41_HOST_KL25	57_184_43_KL111	2.98e-79	33.278	256.0	578.0	18.0	553.0	639.0	16.0	614.0	0.93	0.94	20_1057_41_HOST_KL25-57_184_43_KL111	93.0	high (80-100)		A
20_1057_41_HOST_KL25	131_PC0692_KL111	2.02e-78	33.058	254.0	578.0	12.0	553.0	634.0	10.0	609.0	0.94	0.95	131_PC0692_KL111-20_1057_41_HOST_KL25	94.0	high (80-100)		A
20_1057_41_HOST_KL25	36_1855_60_HOST_KL25	5.24e-76	37.391	244.0	578.0	105.0	553.0	503.0	24.0	478.0	0.78	0.9	20_1057_41_HOST_KL25-36_1855_60_HOST_KL25	78.0	medium (50-80)		A
20_1057_41_HOST_KL25	23_279_60_HOST_KL25	6.21e-70	34.879	228.0	578.0	93.0	572.0	504.0	15.0	497.0	0.83	0.96	20_1057_41_HOST_KL25-23_279_60_HOST_KL25	83.0	high (80-100)		A
20_1057_41_HOST_KL25	124_PC1605_KL25	1.5e-69	35.808	233.0	578.0	105.0	553.0	803.0	326.0	778.0	0.78	0.56	124_PC1605_KL25-20_1057_41_HOST_KL25	56.00000000000001	medium (50-80)		A
21_1723_62_HOST_KL60	79_YP_009153197_1_KL11	5.84e-56	29.421	196.0	629.0	1.0	625.0	702.0	108.0	700.0	0.99	0.84	21_1723_62_HOST_KL60-79_YP_009153197_1_KL11	84.0	high (80-100)		A
21_1723_62_HOST_KL60	127_PC0871_KL60	7.33e-13	24.932	64.7	629.0	1.0	342.0	652.0	2.0	348.0	0.54	0.53	127_PC0871_KL60-21_1723_62_HOST_KL60	53.0	medium (50-80)		A
22_245_48_HOST_KL55	54_0496_72_KL122	2.06e-05	21.583	41.2	655.0	10.0	508.0	968.0	144.0	675.0	0.76	0.55	22_245_48_HOST_KL55-54_0496_72_KL122	55.00000000000001	medium (50-80)		A
22_245_48_HOST_KL55	142_PC1357_KL122	2.17e-05	21.583	40.8	655.0	10.0	508.0	967.0	143.0	674.0	0.76	0.55	142_PC1357_KL122-22_245_48_HOST_KL55	55.00000000000001	medium (50-80)		A
23_279_60_HOST_KL25	135_PC1712_KL22	1.8e-77	36.595	248.0	504.0	10.0	500.0	603.0	102.0	601.0	0.97	0.83	135_PC1712_KL22-23_279_60_HOST_KL25	83.0	high (80-100)		A
23_279_60_HOST_KL25	87_YP_009153199_1_KL25	1.28e-72	35.976	235.0	504.0	17.0	496.0	584.0	103.0	577.0	0.95	0.81	23_279_60_HOST_KL25-87_YP_009153199_1_KL25	81.0	high (80-100)		A
23_279_60_HOST_KL25	138_PC0538_KL25	4.21e-70	34.879	228.0	504.0	15.0	497.0	574.0	90.0	568.0	0.96	0.83	138_PC0538_KL25-23_279_60_HOST_KL25	83.0	high (80-100)		A
23_279_60_HOST_KL25	36_1855_60_HOST_KL25	1.15e-64	34.961	212.0	504.0	10.0	501.0	503.0	8.0	501.0	0.98	0.98	23_279_60_HOST_KL25-36_1855_60_HOST_KL25	98.0	high (80-100)		A
23_279_60_HOST_KL25	131_PC0692_KL111	1.3099999999999999e-61	34.57	207.0	504.0	10.0	501.0	634.0	139.0	632.0	0.98	0.78	131_PC0692_KL111-23_279_60_HOST_KL25	78.0	medium (50-80)		A
23_279_60_HOST_KL25	57_184_43_KL111	2.05e-61	34.51	206.0	504.0	12.0	501.0	639.0	146.0	637.0	0.97	0.77	23_279_60_HOST_KL25-57_184_43_KL111	77.0	medium (50-80)		A
23_279_60_HOST_KL25	124_PC1605_KL25	1.44e-48	32.353	173.0	504.0	12.0	501.0	803.0	312.0	801.0	0.97	0.61	124_PC1605_KL25-23_279_60_HOST_KL25	61.0	medium (50-80)		A
24_1668_49_HOST_KL2	137_PC1397_KL24	0.0	72.269	1077.0	702.0	1.0	702.0	707.0	1.0	707.0	1.0	1.0	137_PC1397_KL24-24_1668_49_HOST_KL2	100.0	high (80-100)		A
24_1668_49_HOST_KL2	136_PC0406_KL24	7.599999999999999e-138	43.813	418.0	702.0	116.0	702.0	803.0	221.0	803.0	0.84	0.73	136_PC0406_KL24-24_1668_49_HOST_KL2	73.0	medium (50-80)		A
24_1668_49_HOST_KL2	56_391_03_KL3	4.2e-97	33.188	310.0	702.0	37.0	702.0	736.0	68.0	736.0	0.95	0.91	24_1668_49_HOST_KL2-56_391_03_KL3	91.0	high (80-100)		A
24_1668_49_HOST_KL2	120_PC0449_KL3	4.1999999999999997e-94	32.606	301.0	702.0	37.0	702.0	736.0	68.0	736.0	0.95	0.91	120_PC0449_KL3-24_1668_49_HOST_KL2	91.0	high (80-100)		A
24_1668_49_HOST_KL2	26_1190_71_HOST_KL28	2.31e-51	28.302	184.0	702.0	44.0	702.0	695.0	58.0	694.0	0.94	0.92	24_1668_49_HOST_KL2-26_1190_71_HOST_KL28	92.0	high (80-100)		A
24_1668_49_HOST_KL2	29_1406_54_HOST_KL28	9.13e-51	28.639	182.0	702.0	44.0	645.0	695.0	58.0	642.0	0.86	0.84	24_1668_49_HOST_KL2-29_1406_54_HOST_KL28	84.0	high (80-100)		A
24_1668_49_HOST_KL2	28_1251_37_KL28	1.7800000000000001e-43	27.213	160.0	702.0	1.0	582.0	677.0	1.0	575.0	0.83	0.85	24_1668_49_HOST_KL2-28_1251_37_KL28	83.0	high (80-100)		A
24_1668_49_HOST_KL2	125_PC0279_KL28	4.8300000000000004e-36	25.92	138.0	702.0	48.0	702.0	698.0	68.0	697.0	0.93	0.9	125_PC0279_KL28-24_1668_49_HOST_KL2	90.0	high (80-100)		A
24_1668_49_HOST_KL2	32_1344_72_HOST_KL64	8.08e-36	26.56	137.0	702.0	48.0	645.0	698.0	68.0	645.0	0.85	0.83	24_1668_49_HOST_KL2-32_1344_72_HOST_KL64	83.0	high (80-100)		A
24_1668_49_HOST_KL2	31_876_57_HOST_KL28	3.12e-34	26.904	133.0	702.0	12.0	578.0	850.0	206.0	738.0	0.81	0.63	24_1668_49_HOST_KL2-31_876_57_HOST_KL28	63.0	medium (50-80)		A
24_1668_49_HOST_KL2	30_1409_62_HOST_KL28	7.31e-26	26.596	105.0	702.0	129.0	578.0	550.0	1.0	438.0	0.64	0.8	24_1668_49_HOST_KL2-30_1409_62_HOST_KL28	64.0	medium (50-80)		A
24_1668_49_HOST_KL2	27_1248_60_HOST_KL28	1.1699999999999998e-23	23.913	99.0	702.0	129.0	702.0	546.0	1.0	545.0	0.82	1.0	24_1668_49_HOST_KL2-27_1248_60_HOST_KL28	82.0	high (80-100)		A
25_1863_75_HOST_KL7	132_PC0551_KL7	0.0	100.0	1918.0	927.0	1.0	927.0	927.0	1.0	927.0	1.0	1.0	132_PC0551_KL7-25_1863_75_HOST_KL7	100.0	high (80-100)		A
25_1863_75_HOST_KL7	58_145_08_HOST_KL10	0.0	49.156	825.0	927.0	1.0	926.0	935.0	1.0	934.0	1.0	1.0	25_1863_75_HOST_KL7-58_145_08_HOST_KL10	100.0	high (80-100)		A
25_1863_75_HOST_KL7	122_PC0844_KL10	0.0	43.316	675.0	927.0	12.0	926.0	929.0	4.0	928.0	0.99	1.0	122_PC0844_KL10-25_1863_75_HOST_KL7	99.0	high (80-100)		A
25_1863_75_HOST_KL7	37_1630_70_HOST_KL10	0.0	43.316	675.0	927.0	12.0	926.0	929.0	4.0	928.0	0.99	1.0	25_1863_75_HOST_KL7-37_1630_70_HOST_KL10	99.0	high (80-100)		A
26_1190_71_HOST_KL28	29_1406_54_HOST_KL28	0.0	88.633	1285.0	695.0	1.0	695.0	695.0	1.0	695.0	1.0	1.0	26_1190_71_HOST_KL28-29_1406_54_HOST_KL28	100.0	high (80-100)		A
26_1190_71_HOST_KL28	125_PC0279_KL28	0.0	74.02	1017.0	695.0	12.0	695.0	698.0	15.0	698.0	0.98	0.98	125_PC0279_KL28-26_1190_71_HOST_KL28	98.0	high (80-100)		A
26_1190_71_HOST_KL28	32_1344_72_HOST_KL64	0.0	73.585	1012.0	695.0	12.0	695.0	698.0	15.0	698.0	0.98	0.98	26_1190_71_HOST_KL28-32_1344_72_HOST_KL64	98.0	high (80-100)		A
26_1190_71_HOST_KL28	28_1251_37_KL28	0.0	77.814	991.0	695.0	75.0	695.0	677.0	63.0	677.0	0.89	0.91	26_1190_71_HOST_KL28-28_1251_37_KL28	89.0	high (80-100)		A
26_1190_71_HOST_KL28	31_876_57_HOST_KL28	0.0	76.115	978.0	695.0	75.0	695.0	850.0	228.0	850.0	0.89	0.73	26_1190_71_HOST_KL28-31_876_57_HOST_KL28	73.0	medium (50-80)		A
26_1190_71_HOST_KL28	27_1248_60_HOST_KL28	0.0	84.799	978.0	695.0	150.0	695.0	546.0	1.0	546.0	0.79	1.0	26_1190_71_HOST_KL28-27_1248_60_HOST_KL28	79.0	medium (50-80)		A
26_1190_71_HOST_KL28	30_1409_62_HOST_KL28	0.0	82.0	939.0	695.0	150.0	695.0	550.0	1.0	550.0	0.79	1.0	26_1190_71_HOST_KL28-30_1409_62_HOST_KL28	79.0	medium (50-80)		A
26_1190_71_HOST_KL28	137_PC1397_KL24	5.89e-35	26.165	135.0	695.0	87.0	694.0	707.0	76.0	707.0	0.87	0.89	137_PC1397_KL24-26_1190_71_HOST_KL28	87.0	high (80-100)		A
26_1190_71_HOST_KL28	56_391_03_KL3	1.2200000000000002e-27	26.295	112.0	695.0	12.0	691.0	736.0	15.0	735.0	0.98	0.98	26_1190_71_HOST_KL28-56_391_03_KL3	98.0	high (80-100)		A
26_1190_71_HOST_KL28	120_PC0449_KL3	4.9200000000000004e-26	26.049	107.0	695.0	12.0	645.0	736.0	15.0	671.0	0.91	0.89	120_PC0449_KL3-26_1190_71_HOST_KL28	89.0	high (80-100)		A
26_1190_71_HOST_KL28	136_PC0406_KL24	2.62e-25	26.412	105.0	695.0	137.0	648.0	803.0	221.0	735.0	0.74	0.64	136_PC0406_KL24-26_1190_71_HOST_KL28	64.0	medium (50-80)		A
27_1248_60_HOST_KL28	29_1406_54_HOST_KL28	0.0	93.956	1070.0	546.0	1.0	546.0	695.0	150.0	695.0	1.0	0.79	27_1248_60_HOST_KL28-29_1406_54_HOST_KL28	79.0	medium (50-80)		A
27_1248_60_HOST_KL28	32_1344_72_HOST_KL64	0.0	92.857	1060.0	546.0	1.0	546.0	698.0	153.0	698.0	1.0	0.78	27_1248_60_HOST_KL28-32_1344_72_HOST_KL64	78.0	medium (50-80)		A
27_1248_60_HOST_KL28	125_PC0279_KL28	0.0	92.125	1045.0	546.0	1.0	546.0	698.0	153.0	698.0	1.0	0.78	125_PC0279_KL28-27_1248_60_HOST_KL28	78.0	medium (50-80)		A
27_1248_60_HOST_KL28	30_1409_62_HOST_KL28	0.0	91.636	1043.0	546.0	1.0	546.0	550.0	1.0	550.0	1.0	1.0	27_1248_60_HOST_KL28-30_1409_62_HOST_KL28	100.0	high (80-100)		A
27_1248_60_HOST_KL28	31_876_57_HOST_KL28	0.0	91.636	1043.0	546.0	1.0	546.0	850.0	301.0	850.0	1.0	0.65	27_1248_60_HOST_KL28-31_876_57_HOST_KL28	65.0	medium (50-80)		A
27_1248_60_HOST_KL28	28_1251_37_KL28	0.0	71.245	832.0	546.0	1.0	546.0	677.0	134.0	677.0	1.0	0.8	27_1248_60_HOST_KL28-28_1251_37_KL28	80.0	high (80-100)		A
27_1248_60_HOST_KL28	136_PC0406_KL24	3.3100000000000003e-21	25.607	91.3	546.0	1.0	499.0	803.0	234.0	735.0	0.91	0.63	136_PC0406_KL24-27_1248_60_HOST_KL28	63.0	medium (50-80)		A
27_1248_60_HOST_KL28	137_PC1397_KL24	4.350000000000001e-21	22.766	90.5	546.0	1.0	545.0	707.0	134.0	707.0	1.0	0.81	137_PC1397_KL24-27_1248_60_HOST_KL28	81.0	high (80-100)		A
27_1248_60_HOST_KL28	56_391_03_KL3	7.08e-19	26.03	83.6	546.0	1.0	496.0	736.0	164.0	671.0	0.91	0.69	27_1248_60_HOST_KL28-56_391_03_KL3	69.0	medium (50-80)		A
27_1248_60_HOST_KL28	120_PC0449_KL3	1.35e-17	25.338	79.7	546.0	1.0	481.0	736.0	164.0	660.0	0.88	0.68	120_PC0449_KL3-27_1248_60_HOST_KL28	68.0	medium (50-80)		A
28_1251_37_KL28	31_876_57_HOST_KL28	0.0	67.675	875.0	677.0	60.0	677.0	850.0	225.0	850.0	0.91	0.74	28_1251_37_KL28-31_876_57_HOST_KL28	74.0	medium (50-80)		A
28_1251_37_KL28	29_1406_54_HOST_KL28	0.0	66.397	858.0	677.0	66.0	677.0	695.0	78.0	695.0	0.9	0.89	28_1251_37_KL28-29_1406_54_HOST_KL28	89.0	high (80-100)		A
28_1251_37_KL28	125_PC0279_KL28	0.0	64.275	845.0	677.0	47.0	677.0	698.0	64.0	698.0	0.93	0.91	125_PC0279_KL28-28_1251_37_KL28	91.0	high (80-100)		A
28_1251_37_KL28	32_1344_72_HOST_KL64	0.0	70.304	835.0	677.0	121.0	677.0	698.0	140.0	698.0	0.82	0.8	28_1251_37_KL28-32_1344_72_HOST_KL64	80.0	high (80-100)		A
28_1251_37_KL28	30_1409_62_HOST_KL28	0.0	71.273	824.0	677.0	134.0	677.0	550.0	1.0	550.0	0.8	1.0	28_1251_37_KL28-30_1409_62_HOST_KL28	80.0	high (80-100)		A
28_1251_37_KL28	137_PC1397_KL24	5.8e-92	35.843	295.0	677.0	1.0	575.0	707.0	1.0	587.0	0.85	0.83	137_PC1397_KL24-28_1251_37_KL28	83.0	high (80-100)		A
28_1251_37_KL28	56_391_03_KL3	5.72e-28	27.706	113.0	677.0	88.0	584.0	736.0	111.0	629.0	0.73	0.71	28_1251_37_KL28-56_391_03_KL3	71.0	medium (50-80)		A
28_1251_37_KL28	120_PC0449_KL3	1.99e-26	27.477	108.0	677.0	88.0	577.0	736.0	111.0	619.0	0.72	0.69	120_PC0449_KL3-28_1251_37_KL28	69.0	medium (50-80)		A
28_1251_37_KL28	136_PC0406_KL24	3.73e-24	26.691	101.0	677.0	124.0	634.0	803.0	224.0	751.0	0.75	0.66	136_PC0406_KL24-28_1251_37_KL28	66.0	medium (50-80)		A
29_1406_54_HOST_KL28	32_1344_72_HOST_KL64	0.0	82.148	1119.0	695.0	12.0	695.0	698.0	15.0	698.0	0.98	0.98	29_1406_54_HOST_KL28-32_1344_72_HOST_KL64	98.0	high (80-100)		A
29_1406_54_HOST_KL28	31_876_57_HOST_KL28	0.0	88.217	1115.0	695.0	75.0	695.0	850.0	228.0	850.0	0.89	0.73	29_1406_54_HOST_KL28-31_876_57_HOST_KL28	73.0	medium (50-80)		A
29_1406_54_HOST_KL28	125_PC0279_KL28	0.0	81.858	1112.0	695.0	12.0	695.0	698.0	15.0	698.0	0.98	0.98	125_PC0279_KL28-29_1406_54_HOST_KL28	98.0	high (80-100)		A
29_1406_54_HOST_KL28	30_1409_62_HOST_KL28	0.0	95.818	1078.0	695.0	150.0	695.0	550.0	1.0	550.0	0.79	1.0	29_1406_54_HOST_KL28-30_1409_62_HOST_KL28	79.0	medium (50-80)		A
29_1406_54_HOST_KL28	137_PC1397_KL24	8.38e-32	24.468	125.0	695.0	87.0	694.0	707.0	76.0	707.0	0.87	0.89	137_PC1397_KL24-29_1406_54_HOST_KL28	87.0	high (80-100)		A
29_1406_54_HOST_KL28	56_391_03_KL3	6.26e-25	26.263	103.0	695.0	12.0	645.0	736.0	15.0	671.0	0.91	0.89	29_1406_54_HOST_KL28-56_391_03_KL3	89.0	high (80-100)		A
29_1406_54_HOST_KL28	120_PC0449_KL3	7.429999999999999e-23	25.037	97.1	695.0	12.0	630.0	736.0	15.0	660.0	0.89	0.88	120_PC0449_KL3-29_1406_54_HOST_KL28	88.0	high (80-100)		A
29_1406_54_HOST_KL28	136_PC0406_KL24	2.61e-22	25.59	95.5	695.0	137.0	648.0	803.0	221.0	735.0	0.74	0.64	136_PC0406_KL24-29_1406_54_HOST_KL28	64.0	medium (50-80)		A
30_1409_62_HOST_KL28	31_876_57_HOST_KL28	0.0	100.0	1126.0	550.0	1.0	550.0	850.0	301.0	850.0	1.0	0.65	30_1409_62_HOST_KL28-31_876_57_HOST_KL28	65.0	medium (50-80)		A
30_1409_62_HOST_KL28	32_1344_72_HOST_KL64	0.0	91.818	1040.0	550.0	1.0	550.0	698.0	153.0	698.0	1.0	0.78	30_1409_62_HOST_KL28-32_1344_72_HOST_KL64	78.0	medium (50-80)		A
30_1409_62_HOST_KL28	125_PC0279_KL28	0.0	91.818	1033.0	550.0	1.0	550.0	698.0	153.0	698.0	1.0	0.78	125_PC0279_KL28-30_1409_62_HOST_KL28	78.0	medium (50-80)		A
30_1409_62_HOST_KL28	137_PC1397_KL24	7.61e-24	24.138	99.4	550.0	1.0	516.0	707.0	134.0	652.0	0.94	0.73	137_PC1397_KL24-30_1409_62_HOST_KL28	73.0	medium (50-80)		A
30_1409_62_HOST_KL28	136_PC0406_KL24	2.81e-22	26.0	94.7	550.0	1.0	549.0	803.0	234.0	803.0	1.0	0.71	136_PC0406_KL24-30_1409_62_HOST_KL28	71.0	medium (50-80)		A
30_1409_62_HOST_KL28	56_391_03_KL3	4.69e-18	25.891	81.3	550.0	1.0	495.0	736.0	164.0	669.0	0.9	0.69	30_1409_62_HOST_KL28-56_391_03_KL3	69.0	medium (50-80)		A
30_1409_62_HOST_KL28	120_PC0449_KL3	2.93e-16	25.287	75.5	550.0	1.0	484.0	736.0	164.0	658.0	0.88	0.67	120_PC0449_KL3-30_1409_62_HOST_KL28	67.0	medium (50-80)		A
31_876_57_HOST_KL28	32_1344_72_HOST_KL64	0.0	84.261	1068.0	850.0	223.0	850.0	698.0	77.0	698.0	0.74	0.89	31_876_57_HOST_KL28-32_1344_72_HOST_KL64	74.0	medium (50-80)		A
31_876_57_HOST_KL28	125_PC0279_KL28	0.0	84.261	1061.0	850.0	223.0	850.0	698.0	77.0	698.0	0.74	0.89	125_PC0279_KL28-31_876_57_HOST_KL28	74.0	medium (50-80)		A
31_876_57_HOST_KL28	137_PC1397_KL24	1.96e-36	25.359	140.0	850.0	225.0	816.0	707.0	60.0	652.0	0.7	0.84	137_PC1397_KL24-31_876_57_HOST_KL28	70.0	medium (50-80)		A
31_876_57_HOST_KL28	56_391_03_KL3	4.7199999999999995e-25	25.733	104.0	850.0	228.0	795.0	736.0	92.0	669.0	0.67	0.79	31_876_57_HOST_KL28-56_391_03_KL3	67.0	medium (50-80)		A
31_876_57_HOST_KL28	120_PC0449_KL3	8.67e-24	25.373	100.0	850.0	228.0	784.0	736.0	92.0	658.0	0.66	0.77	120_PC0449_KL3-31_876_57_HOST_KL28	66.0	medium (50-80)		A
32_1344_72_HOST_KL64	125_PC0279_KL28	0.0	94.269	1365.0	698.0	1.0	698.0	698.0	1.0	698.0	1.0	1.0	125_PC0279_KL28-32_1344_72_HOST_KL64	100.0	high (80-100)		A
32_1344_72_HOST_KL64	56_391_03_KL3	9.439999999999999e-89	34.143	287.0	698.0	1.0	648.0	736.0	1.0	671.0	0.93	0.91	32_1344_72_HOST_KL64-56_391_03_KL3	91.0	high (80-100)		A
